id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,popularity_group
755754,Rose,0.0,0,Released,2020-05-04,0,3,False,,0,https://vimeo.com/414668266,,en,Rose,"Rose's life-long security blanket represents her mother's love, which she clings onto as a toddler, tosses aside as a teen, and realizes she desperately needs at the start of adulthood.",0.6,/eg8H26bS8Np74i438FmT0zgmKXV.jpg,,"Animation, Family",,,,0-2
932592,それいけ！アンパンマン’95シリーズセレクション,0.0,0,Released,1995-01-01,0,0,False,,0,,,ja,それいけ！アンパンマン’95シリーズセレクション,,0.6,/mCYIepxElVt5LYTrqEPl3ALdgc0.jpg,,Animation,,Japan,Japanese,0-2
29561,Friends Forever,5.6,4,Released,2009-07-22,0,77,False,/zMzMOhZjJIA8qVXdN3Aga9uv8tc.jpg,0,,tt1395050,de,Mullewapp - Das große Kinoabenteuer der Freunde,"The unsuccessful actor and vagabond Johnny Mauser needs a change from all the trouble that he has experienced while living in the city. The perfect place to take a little break seems to be in Mullewapp, a little village with a cosy little farm. Soon he becomes friends with Franz von Hahn and Waldemar. And when the sheep Cloud suddenly disappears, the three new friends have to manage their first adventure.",1.155,/blJhdIpad6eWfSVmBkWMvZcgkP1.jpg,,Animation,MotionWorks,"Germany, France, Italy","German, English",0-2
979114,Madeline's Rescue,6.0,1,Released,1959-08-07,0,7,False,,0,,tt2565814,en,Madeline's Rescue,"When Madeline falls into the river Seine and nearly drowns, a courageous canine comes to her rescue. Now Genevieve the dog is Madeline's cherished pet, and the envy of all the other girls. What can be done when there's just not enough hound to go around?",0.6,/ikrK2pvfansfcw5Uqzs9lFx6btH.jpg,,Animation,Weston Woods Studios,,English,0-2
961611,The Gods of Tiny Things,0.0,0,Released,2021-01-26,0,5,False,,0,,,en,The Gods of Tiny Things,"""The Gods of Tiny Things"" thinks poetically and urgently about the current array of threats to life; the shift to the right across the political world, the tolls of colonialism, climate catastrophe, human profligacy; and conversely the dynamic, kaleidoscopic pleasures and desires of life itself, at all scales, in all its teeming, prancing, hectic, clamouring fertility. We are dancing at the end of time.",0.6,/3MCGys4RQTmcnll4IfDT3plJkV6.jpg,,Animation,,Australia,,0-2
1129779,Kimba the White Lion: Symphonic Poem,0.0,0,Released,1991-01-01,0,51,False,,0,,tt0294674,en,Kimba the White Lion: Symphonic Poem,"After a spoken introduction describing the various musical instruments used, the film tells the story of Kimba the White Lion, from his birth, to his escape from a ship intended to take him far from home. The story is told entirely without dialogue, and showcases a symphonic tome poem composed by Isao Tomita, based in incidental music he composed for the original television series ""Jangaru taitei"" (1965)",0.6,/q6d1f6oy0zNeMDFuuXtjAxArDeY.jpg,,"Family, Adventure, Animation",,,,0-2
1130786,Military Cross,0.0,0,Released,1997-01-01,0,2,False,,0,,,en,Croix de Guerre,"Animation by French historian, archivist and archaeologist Michel Fleury.",0.6,,,Animation,,,No Language,0-2
1166869,Derby Day,0.0,0,Released,1923-09-23,0,5,False,,0,,tt0997332,en,Derby Day,An Aesop Fables animation.,0.6,,,Animation,,,,0-2
388836,A Frog on the Swing,0.0,0,Released,1989-01-01,0,5,False,,0,,tt0482975,en,A Frog on the Swing,An animated fable centered around a backyard pond shown intermittently in live-action scenes.,0.6,/pd66R8qWq8XAqqoMrOpGAnT9sCk.jpg,,Animation,,,,0-2
1127100,Tufo,0.0,0,Released,2023-06-13,0,26,False,,0,,,it,Tufo,TUFO tells the story of the Cutrò family and their resistence agianst the mafia as witnesses of justice.,0.6,/1hmmZWxxG2EzWENaOTLusu6xLQu.jpg,,"Animation, Documentary, Crime",IBRIDO,"France, Italy",Italian,0-2
717602,A Pointless Whisper,0.0,0,Released,2007-01-01,0,14,False,,0,https://cargocollective.com/putapan/following/putapan/A-Pointless-Whisper-Ett-meningslost-sus,,sv,Ett meningslöst sus,"The Squirrel of Death has lost his queue. With it, his motivation and self esteem also disappeared. So he decides to go and look for it ...",0.6,/gK0QybfzVTx1mupAkbv6aNE6y32.jpg,,Animation,,Sweden,Swedish,0-2
314387,Scooby-Doo! Mecha Mutt Menace,8.967,61,Released,2013-09-24,0,22,False,/t3IpsD1dCCLjshcU93bC6XA4B8X.jpg,0,,tt3328486,en,Scooby-Doo! Mecha Mutt Menace,"Mecha Mutt, a revolutionary remote-controlled lunar rover resembling a large canine, goes rogue at Houston's Annual Science Expo. Scooby-Doo! Mecha Mutt Menace is the fourth in a series of direct-to-video short films.",7.756,/6qLU4vChPzCFEkQnrZDlAYLX9BC.jpg,Mecha Mutt goes rogue at Houston's Annual Science Expo.,"Family, Comedy, Mystery, Animation",,,English,6-8
647994,Kud Wafter,5.0,3,Released,2021-07-16,0,51,False,/ceNwf3fk9AcDnflcJrMwBhwwjwK.jpg,0,,tt13091238,ja,劇場版 クドわふたー,"The anime adaptation of Key's visual novel Kud Wafter, which follows the romantic relationship between Riki Naoe and Kudryavka Noumi from the game Little Busters!",1.357,/8myZ2Uze9Yx7KaEoQ5dQWaNpaAA.jpg,,"Animation, Comedy, Romance",J.C.STAFF,Japan,Japanese,0-2
1150713,Old Mother Clobber,0.0,0,Released,1958-09-01,0,6,False,,0,,tt0151820,en,Old Mother Clobber,"A CinemaScope cartoon in which Clint Clobber, in his usual job as an apartment-house manager, is annoyed no end by a brat of a girl who seems determined to drive him out of his mind as she goes about wrecking the place. But, in the end, he finds out he needs her.",0.6,,,Animation,,,,0-2
1053083,Don’t step on the grass,0.0,0,Released,2009-01-01,0,18,False,,0,,tt1488006,pt,Não pise à grama,A real story about a man who became addicted to sex in the Flemish landfill for 11 years.,0.6,,,Animation,,,,0-2
153018,Телевизор кота Леопольда,8.5,1,Released,1981-01-01,0,10,False,/8q78Lop0Q43eOAZwXXNLT5KcuPq.jpg,0,,,ru,Телевизор кота Леопольда,,0.6,/fWrSK4djxySuuchACb9tmuUvivr.jpg,,"Animation, Adventure",Ekran,Soviet Union,"Basque, Russian",0-2
655921,Alvin and the Chipmunks: Alvin's Christmas Carol,8.5,2,Released,1993-09-29,0,30,False,,0,,tt5183154,en,Alvin and the Chipmunks: Alvin's Christmas Carol,"In this story inspired by the timeless classic, A Christmas Carol, Alvin finds himself center stage as a Scroogelike little chipmunk. Ghostly visits from Dave, Theodore and Simon as the spirits of Christmas Past, Present, and Future help him understand the true meaning of the Holiday.",0.6,/cErTnvMDSHhJh0ZH5oyZDhV4nAV.jpg,,Animation,,United States of America,English,0-2
1214849,Jashin-chan Dropkick [Seikimatsu-hen],0.0,0,In Production,2023-12-27,0,60,False,/A8fRIvnA3NhJWHpQItrM2hbLwfw.jpg,0,https://jashinchan.com/,,ja,邪神ちゃんドロップキック【世紀末編】,"Thanks to a successful crowdfunding campaign supported by its loyal fans, this single-episode special of Dropkick on My Devil! is being made in support of Takamori, a town located in Kumamoto Prefecture's Aso District. The story begins after aliens destroy Jinbocho, where the main series takes place. Following the stars, Jashin-chan heads south to find Yurine in Takamori.",0.0,/jUrhMXgKAzNihlAO6374kw2WfnC.jpg,,"Comedy, Animation, Action, Adventure",Makaria,Japan,Japanese,0-2
